Período;Região;Instituição;Localização Geográfica;Nº Atendimentos em Urgência SU Triagem Manchester -Vermelha;Nº Atendimentos em Urgência SU Triagem Manchester -Laranja;Nº Atendimentos em Urgência SU Triagem Manchester -Amarela;Nº Atendimentos em Urgência SU Triagem Manchester -Verde;Nº Atendimentos em Urgência SU Triagem Manchester -Azul;Nº Atendimentos em Urgência SU Triagem Manchester -Branca;Nº Atendimentos s\ Triagem Manchester
2024-01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE;41.383183, -8.758784;39;512;2283;2367;87;1;246
2024-01;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, EPE;40.636332, -8.654388;60;1847;6910;3835;179;619;44
2024-01;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, EPE;38.67381, -9.17597;66;1441;3936;4771;493;135;57
2024-01;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;54;2143;5446;10116;363;291;73
2024-01;Região de Saúde Norte;Unidade Local de Saúde de Braga, EPE;41.562328338623, -8.3;81;1480;7856;6517;92;706;105
2024-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;63;1306;6346;5452;76;241;7
2024-01;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;56;1240;5368;3923;116;251;31
2025-01;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;72;818;5940;3530;299;61;8305
2025-01;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE;41.310331, -7.760103;51;1807;11825;5112;106;615;0
2025-01;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;40.130297609, -8.8606;18;483;3235;1783;12;70;10
2025-01;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;33;983;5088;3768;106;598;0
2024-02;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;39.232503, -8.715083;55;2631;7904;6409;237;133;19
2024-02;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, EPE;39.7418, -8.79444;157;2710;12410;9691;308;753;127
2024-02;Região de Saúde do Centro;Unidade Local de Saúde de Dão-Lafões, EPE;40.6509, -7.91039;79;2824;10461;7867;301;1104;2831
2024-02;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga, EPE;40.9295, -8.54567;103;4107;17992;12516;391;387;51
2024-02;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;99;1605;11310;8075;676;121;18314
2024-02;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;40.130297609, -8.8606;22;808;6514;3648;23;198;25
2024-02;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;100;2363;10775;8216;216;465;63
2024-03;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, EPE;40.636332, -8.654388;172;5585;22405;12103;650;1816;119
2024-03;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, EPE;39.7418, -8.79444;234;4195;19403;14919;471;1083;210
2024-03;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, EPE;38.67381, -9.17597;188;4358;12942;15985;1361;391;166
2024-03;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende, EPE;41.533438, -8.616604;28;1091;5927;8699;650;204;10
2024-03;Região de Saúde Norte;Unidade Local de Saúde de Braga, EPE;41.562328338623, -8.3;236;4495;24424;20499;254;1939;370
2024-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Alentejo Central, EPE;38.568838, -7.903064;90;4076;8817;8461;606;252;304
2024-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;78;2209;9550;9533;226;;446
2024-03;Região de Saúde Norte;Unidade Local de Saúde do Alto Ave, EPE;41.488574, -8.338685;60;2896;15113;15285;371;2482;196
2024-03;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;153;3770;18972;16908;288;671;14
2024-03;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;40.130297609, -8.8606;34;1231;10050;5888;37;295;41
2024-03;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;95;3304;17093;12558;579;561;125
2024-03;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave, EPE;41.3422317504883, -8.0;83;2966;16356;11342;175;711;2
2024-03;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;157;3683;16729;13289;340;811;102
2024-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.802452, -6.768198;91;2138;14665;7284;221;904;66
2024-04;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE;41.383183, -8.758784;95;1918;9354;10145;434;1;1117
2024-04;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;227;8523;24523;45278;1477;1442;856
2024-04;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental, EPE;38.7084, -9.21711;98;3894;15788;19562;921;1267;2939
2024-04;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas, EPE;38.821769, -9.176301;118;4746;20174;12117;487;488;428
