Período;Região;ULS;Entidade;Localização Geográfica;Nº Notícias Nascimento;Nº de Nascer Utente
2016-01;Região de Saúde do Centro;;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;163;62.0
2016-01;Região de Saúde Norte;;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;94;0.0
2016-01;Região de Saúde Norte;;Hospital da Senhora da Oliveira - Guimarães, EPE;41.4387173, -8.3086907;0;0.0
2016-01;Região de Saúde do Centro;;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;168;121.0
2016-01;Região de Saúde LVT;;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;123;46.0
2016-01;Região de Saúde LVT;;Hospital de Cascais Dr. José de Almeida;38.728951, -9.418466;63;0.0
2016-01;Região de Saúde Norte;;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;2;84.0
2016-01;Região de Saúde LVT;;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;5;0.0
2016-01;Região de Saúde Norte;;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;8;5.0
2016-02;Região de Saúde do Centro;;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;44;38.0
2016-02;Região de Saúde LVT;;Hospital Beatriz Ângelo - Loures, PPP;38.821342, -9.176377;50;0.0
2016-02;Região de Saúde do Alentejo;;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;36;1.0
2016-02;Região de Saúde LVT;;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;94;0.0
2016-02;Região de Saúde do Alentejo;;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;0;0.0
2016-02;Região de Saúde LVT;;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;197;23.0
2016-02;Região de Saúde Norte;;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;0;0.0
2016-02;Região de Saúde LVT;;Hospital Prof. Doutor Fernando Fonseca, EPE;38.744564, -9.246391;0;0.0
2016-02;Região de Saúde Norte;;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;84;0.0
